ldr,pre,dia,miu,tem,mas
168,10.1,2,3.8,322.57,79.06
168,10.1,2,3.8,319.45,78.49
168,10.1,2,3.8,316.68,92.45
106,10.1,3.175,4.3,378.95,140.39
168,10.1,2,3.8,332.43,70.57
106,10.1,3.175,4.3,340.18,171.76
168,10.1,2,3.8,315.96,84.15
168,10.1,2,3.8,321.37,76.04
106,10.1,3.175,4.3,344.03,165.1
168,10.1,2,3.8,324.74,75.47
168,10.1,2,3.8,329.78,70.57
168,10.1,2,3.8,329.9,69.25
168,10.1,2,3.8,318.97,85.09
168,10.1,2,3.8,314.28,92.45
168,10.1,2,3.8,342.89,63.4
168,10.1,2,3.8,323.78,76.98
168,10.1,2,3.8,317.04,83.58
106,10.1,3.175,4.3,352.41,155.69
168,10.1,2,3.8,329.3,73.77
168,10.1,2,3.8,327.62,74.15
106,10.1,3.175,4.3,340.71,168.24
168,10.1,2,3.8,342.16,62.26
168,10.1,2,3.8,317.16,87.36
168,10.1,2,3.8,334.59,68.3
168,10.1,2,3.8,313.56,93.96
168,10.1,2,3.8,312.24,94.53
168,10.1,2,3.8,315,87.92
168,10.1,2,3.8,319.57,83.77
168,10.1,2,3.8,348.29,63.21
168,10.1,2,3.8,322.45,75.28
168,10.1,2,3.8,311.64,100.94
168,10.1,2,3.8,320.41,83.21
106,10.1,3.175,4.3,312.69,249.41
168,10.1,2,3.8,325.7,73.58
168,10.1,2,3.8,328.34,72.64
168,10.1,2,3.8,318.37,80.38
168,10.1,2,3.8,311.52,95.66
168,10.1,2,3.8,317.65,85.47
106,10.1,3.175,4.3,333.55,177.65
168,10.1,2,3.8,318.61,83.58
106,10.1,3.175,4.3,320.77,205.1
168,10.1,2,3.8,325.82,71.89
168,10.1,2,3.8,321.01,80.94
106,10.1,3.175,4.3,333.72,176.86
168,10.1,2,3.8,312.72,97.92
168,10.1,2,3.8,312,97.36
168,10.1,2,3.8,319.33,81.7
168,10.1,2,3.8,313.56,91.89
168,10.1,2,3.8,336.76,67.74
168,10.1,2,3.8,317.53,81.7
106,10.1,3.175,4.3,338.09,172.94
106,10.1,3.175,4.3,328.65,185.1
106,10.1,3.175,4.3,315.33,231.37
168,10.1,2,3.8,322.93,76.42
168,10.1,2,3.8,323.53,73.21
106,10.1,3.175,4.3,348.92,160.39
168,10.1,2,3.8,313.92,95.09
168,10.1,2,3.8,321.25,78.11
168,10.1,2,3.8,344.57,64.15
168,10.1,2,3.8,312.72,96.04
168,10.1,2,3.8,326.54,75.28
106,10.1,3.175,4.3,349.79,158.43
106,10.1,3.175,4.3,325.15,190.98
168,10.1,2,3.8,327.02,72.08
168,10.1,2,3.8,338.68,64.15
168,10.1,2,3.8,318.25,86.42
168,10.1,2,3.8,315.72,90
168,10.1,2,3.8,327.62,70.19
168,10.1,2,3.8,312.96,92.45
106,10.1,3.175,4.3,313.4,241.18
